id	name	str	icon	Desc
1030214	追加入場卷-欲界(深淵迷宮)	a,	icon.ticket_i00	a,
1030215	活力充能飲料	a,	icon.etc_potion_of_energy_i01	a,
1030216	30分鐘活力維持藥水	a,	BranchSys2.br_essence_rose_i00	a,
1030217	新鮮牛奶	a,	icon.etc_fresh_milk_i00	a,
1030218	超級健康果汁(HP)(9瓶)	a,	BranchSys2.icon.etc_health_juice_i00	a,
1030219	超級健康果汁(CP)(10瓶)	a,	BranchSys2.icon.etc_health_juice_i01	a,
1030220	新生茁壯配方	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030221	魯因精緻餅乾組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030222	古魯丁手工餅乾組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030223	狄恩手工餅乾組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030224	經驗值古文 30% 5小時/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030225	SP古文 50% 5小時/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030226	武器用強化輔助石-S級組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030227	防具用強化輔助石-S級組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030228	武器用強化輔助石-A級組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030229	防具用強化輔助石-A級組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030230	結晶型古文 3級-5小時/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030231	羽毛古文 24小時/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030232	靈活思緒卷軸 3張	a,	br_cashtex.item.br_cash_scroll_of_greater_acumen_i00	a,
1030233	吸血怒擊卷軸 3張	a,	br_cashtex.item.br_cash_scroll_of_vampiric_rage_i00	a,
1030234	速度激發卷軸 3張	a,	br_cashtex.item.br_cash_scroll_of_haste_i00	a,
1030235	澄澈思緒卷軸 3張	a,	br_cashtex.item.br_cash_scroll_of_clarity_i00	a,
1030236	魔力催化卷軸 3張	a,	br_cashtex.item.br_cash_scroll_of_empower_i00	a,
1030237	煉獄龍獸變身卷軸	a,	icon.etc_trans_4f_s_b_01	a,
1030238	獨角獸變身卷軸	a,	icon.etc_trans_4f_s_b_01	a,
1030239	莉莉恩騎士變身卷軸	a,	icon.etc_trans_4f_s_b_01	a,
1030240	死亡之刃變身卷軸	a,	icon.etc_trans_4f_s_b_01	a,
1030241	高崙守護者變身卷軸	a,	icon.etc_trans_4f_s_b_01	a,
1030242	暴烈龍變身卷軸	a,	icon.etc_trans_4f_s_b_01	a,
1030243	門徒聖杯變身卷軸	a,	icon.etc_trans_4f_s_b_01	a,
1030244	奈比特古文100%-3小時禮盒	a,	icon.etc_pi_gift_box_i00	a,
1030245	奈比特古文100%-5小時禮盒	a,	icon.etc_pi_gift_box_i00	a,
1030246	奈比特古文100%-7日禮盒	a,	icon.etc_pi_gift_box_i00	a,
1030247	奈比特古文200%-3小時禮盒	a,	icon.etc_pi_gift_box_i00	a,
1030248	奈比特古文200%-5小時禮盒	a,	icon.etc_pi_gift_box_i00	a,
1030249	奈比特古文200%-7日禮盒	a,	icon.etc_pi_gift_box_i00	a,
1030250	天堂雞尾酒	a,	icon.etc_fruit_cocktail_i01	a,
1030251	天堂雞尾酒5瓶組	a,	icon.etc_fruit_cocktail_i01	a,
1030252	新鮮牛奶2瓶	a,	icon.etc_fresh_milk_i00	a,
1030253	奇蹟的快樂蛋糕 - 裝飾品組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030254	帕格立歐襯衫1件組	a,	icon.etc_pi_gift_box_i04	a,
1030255	梅芙襯衫1件組	a,	icon.etc_pi_gift_box_i04	a,
1030256	沙哈襯衫1件組	a,	icon.etc_pi_gift_box_i04	a,
1030257	伊娃襯衫1件組	a,	icon.etc_pi_gift_box_i04	a,
1030258	帕格立歐襯衫5件組	a,	icon.etc_pi_gift_box_i04	a,
1030259	梅芙襯衫5件組	a,	icon.etc_pi_gift_box_i04	a,
1030260	沙哈襯衫5件組	a,	icon.etc_pi_gift_box_i04	a,
1030261	伊娃襯衫5件組	a,	icon.etc_pi_gift_box_i04	a,
1030262	卡爾提亞迷宮入場券-等級85單人	a,	icon.etc_ticket_red_i00	a,
1030263	卡爾提亞迷宮入場券-等級90單人	a,	icon.etc_ticket_red_i00	a,
1030264	卡爾提亞迷宮入場券-等級95單人	a,	icon.etc_ticket_red_i00	a,
1030265	卡爾提亞迷宮入場券-等級85隊伍	a,	icon.etc_ticket_red_i00	a,
1030266	卡爾提亞迷宮入場券-等級90隊伍	a,	icon.etc_ticket_red_i00	a,
1030267	卡爾提亞迷宮入場券-等級95隊伍	a,	icon.etc_ticket_red_i00	a,
1030268	命運之石	a,	icon.destiny_stone	a,
1030269	愛情禮盒組	a,	icon.etc_pi_box_love_pack	a,
1030270	心動禮盒組	a,	icon.etc_pi_box_belief_pack	a,
1030271	告白禮盒組	a,	icon.etc_pi_box_wish_pack	a,
1030272	快樂禮盒組	a,	icon.etc_pi_box_joy_pack	a,
1030273	卡爾提亞迷宮入場券-等級85單人	a,	icon.etc_ticket_red_i00	a,
1030274	卡爾提亞迷宮入場券-等級90單人	a,	icon.etc_ticket_red_i00	a,
1030275	卡爾提亞迷宮入場券-等級95單人	a,	icon.etc_ticket_red_i00	a,
1030276	卡爾提亞迷宮入場券-等級85隊伍	a,	icon.etc_ticket_red_i00	a,
1030277	卡爾提亞迷宮入場券-等級90隊伍	a,	icon.etc_ticket_red_i00	a,
1030278	卡爾提亞迷宮入場券-等級95隊伍	a,	icon.etc_ticket_red_i00	a,
1030279	經驗值古文 50% 5小時/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030280	經驗值古文 50% 7日/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030281	祝福的羽毛	a,	icon.blessed_feather_i00	a,
1030282	黑熊騎乘手鐲組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030283	森林勿忘草帽	a,	BranchSys2.icon2.pi_forgetmenot_cap	a,
1030284	淘氣小蜜蜂帽	a,	BranchSys2.icon2.pi_bee_cap	a,
1030285	經驗值葫蘆壺精組-10小時組	a,	icon.etc_pi_gift_box_i00	a,
1030286	奈比特古文(龍之飛翔)禮盒	a,	奈比特古文(龍之飛翔)禮盒	a,
1030287	光束劍加工石	a,	BranchSys3.Icon.g_shape_shifting_sword	a,
1030288	光束匕首加工石	a,	BranchSys3.Icon.g_shape_shifting_dagger	a,
1030289	光束雙手劍加工石	a,	BranchSys3.Icon.g_shape_shifting_twohand_sword	a,
1030290	光束格鬥兵器加工石	a,	BranchSys3.Icon.g_shape_shifting_dualfist	a,
1030291	光束槍加工石	a,	BranchSys3.Icon.g_shape_shifting_pole	a,
1030292	光束弓加工石	a,	BranchSys3.Icon.g_shape_shifting_bow	a,
1030293	光束弩弓加工石	a,	BranchSys3.Icon.g_shape_shifting_twohand_crossbow	a,
1030294	光束單手鈍器加工石	a,	BranchSys3.Icon.g_shape_shifting_blunt	a,
1030295	光束雙手鈍器加工石	a,	BranchSys3.Icon.g_shape_shifting_twohand_blunt	a,
1030296	光束單手魔法鈍器加工石	a,	BranchSys3.Icon.g_shape_shifting_magic_blunt	a,
1030297	光束雙手魔法鈍器加工石	a,	BranchSys3.Icon.g_shape_shifting_magic_twohand_blunt	a,
1030298	光束二刀流加工石	a,	BranchSys3.Icon.g_shape_shifting_dual	a,
1030299	光束雙匕首加工石	a,	BranchSys3.Icon.g_shape_shifting_dualdagger	a,
1030300	光束雙鈍器加工石	a,	BranchSys3.Icon.g_shape_shifting_dualblunt	a,
1030301	光束盾牌加工石	a,	BranchSys3.Icon.g_shape_shifting_shield	a,
1030302	光束符印加工石	a,	BranchSys3.Icon.g_shape_shifting_sigil	a,
1030303	武器加工石-R級	a,	BranchSys3.Icon.g_shape_shifting_wp_stone_r	a,
1030304	武器復原石-R級	a,	BranchSys3.icon.g_wp_processing_stone_r	a,
1030305	武器加工石-S級	a,	BranchSys3.Icon.g_shape_shifting_wp_stone_s	a,
1030306	武器復原石-S級	a,	BranchSys3.icon.g_wp_processing_stone_s	a,
1030307	武器加工石-R級/組	u,內含武器加工石-R級、武器復原石-R級各一個\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030308	武器加工石-S級/組	u,內含武器加工石-S級、武器復原石-S級各一個\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030309	沃夫襯衫組	a,	icon.etc_pi_gift_box_i04	a,
1030310	祝福的沃夫襯衫強化卷軸14張組	a,	BranchSys2.icon.etc_scroll_of_enchant_shirt_i00	a,
1030311	祝福的沃夫襯衫強化卷軸6張組	a,	BranchSys2.icon.etc_scroll_of_enchant_shirt_i00	a,
1030312	祝福的沃夫襯衫強化卷軸組	a,	BranchSys2.icon.etc_scroll_of_enchant_shirt_i00	a,
1030313	艷麗特惠組合	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030314	誘人特惠組合	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030315	艷麗泳裝加工石	a,	BranchSys3.lcon.g_scrl_change_co_swimsuit_01	a,
1030316	誘人泳裝加工石	a,	BranchSys3.lcon.g_scrl_change_co_swimsuit_01	a,
1030317	華麗海灘遮陽帽組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030318	艷麗泳裝	a,	BranchSys3.icon1.g_co_swimsuit_event_02	a,
1030319	誘人泳裝	a,	BranchSys3.icon1.g_co_swimsuit_event_03	a,
1030320	防具加工石-R	a,	BranchSys3.Icon.g_shape_shifting_am_stone_r	a,
1030321	防具加工石-S	a,	BranchSys3.Icon.g_shape_shifting_am_stone_s	a,
1030322	防具外型復原石-R級	a,	BranchSys3.icon.g_wp_processing_stone_r	a,
1030323	防具外型復原石-S級	a,	BranchSys3.icon.g_wp_processing_stone_s	a,
1030324	命運之石	a,	icon.destiny_stone	a,
1030325	萬聖夜騎乘掃帚	a,	BranchSys3.Icon.g_halloween_flying_broom_i00	a,
1030326	殭屍壺精組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030327	萬聖夜餅乾	a,	BranchSys3.Icon.ev_halloween_cookie	a,
1030328	萬聖夜特製餅乾	a,	BranchSys3.Icon.ev_halloween_cookie	a,
1030329	萬聖夜南瓜帽	a,	BranchSys3.Icon.g_halloween_magic_hat	a,
1030330	黃金傑克南瓜面具	a,	BranchSys.icon.br_golden_jack0_mask_i00	a,
1030331	黃金傑克南瓜面具 7日/組	u,用黃金製作的傑克南瓜面具。發出燦爛的光芒。無法交易/丟棄/出售的道具，但可以保管在個人倉庫。黃金傑克南瓜的權能技能使用冷卻時間為1小時。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030332	閃耀的科學怪人面具 7日/組	u,裝備後可使用萬聖夜的祝福技能，技能使用冷卻時間為1小時。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030333	閃耀的驚聲尖叫面具 7日/組	u,裝備後可使用萬聖夜的祝福技能，技能使用冷卻時間為1小時。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030334	閃耀的憤怒精靈面具 7日/組	u,裝備後可使用萬聖夜的祝福技能，技能使用冷卻時間為1小時。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030335	閃耀的不朽骸骨面具 7日/組	u,裝備後可使用萬聖夜的祝福技能，技能使用冷卻時間為1小時。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030336	閃耀的X235行星面具 7日/組	u,裝備後可使用萬聖夜的祝福技能，技能使用冷卻時間為1小時。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030337	南瓜變身魔杖 30日/組	a,	icon.etc_pi_gift_box_i00	a,
1030338	南瓜變身魔杖 7日/組	a,	icon.etc_pi_gift_box_i02	a,
1030339	卡爾提亞迷宮入場券-等級85單人	a,	icon.etc_ticket_red_i00	u,2012熱門商品限時販售\0
1030340	卡爾提亞迷宮入場券-等級90單人	a,	icon.etc_ticket_red_i00	u,2012熱門商品限時販售\0
1030341	卡爾提亞迷宮入場券-等級95單人	a,	icon.etc_ticket_red_i00	u,2012熱門商品限時販售\0
1030342	卡爾提亞迷宮入場券-等級85隊伍	a,	icon.etc_ticket_red_i00	u,2012熱門商品限時販售\0
1030343	卡爾提亞迷宮入場券-等級90隊伍	a,	icon.etc_ticket_red_i00	u,2012熱門商品限時販售\0
1030344	卡爾提亞迷宮入場券-等級95隊伍	a,	icon.etc_ticket_red_i00	u,2012熱門商品限時販售\0
1030345	跳跳眼	a,	icon.accessory_beetle_eye_i00	a,
1030346	穿箭蘋果	a,	icon.accessory_arrow_apple_i00	a,
1030347	時髦小丑帽	a,	icon.accessory_jester_cap_2_i00	a,
1030348	時髦中世紀舞會面具	a,	icon.accessory_middle_age_party_mask2_i00	a,
1030349	時髦嘉年華頭箍(紫色)	a,	icon.accessory_carnival_circlet_i00	a,
1030350	時髦嘉年華頭箍(白色)	a,	icon.accessory_carnival_circlet2_i00	a,
1030351	刺客斗笠組	a,	icon.etc_pi_gift_box_i00	a,
1030352	暴走族口罩組	a,	icon.etc_pi_gift_box_i00	a,
1030353	白羽黃金假面組	u,男性角色限定\0	icon.etc_pi_gift_box_i00	a,
1030354	美味起司帽	a,	BranchSys.icon.br_bigrat_cap_i00	a,
1030355	甜蜜起司帽	a,	BranchSys.icon.br_goldrat_cap_i00	a,
1030356	經驗值古文 100%(1小時)組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	u,2012熱門商品限時販售\0
1030357	經驗值古文 100%（7日）組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	u,2012熱門商品限時販售\0
1030358	奈比特古文(龍之飛翔)禮盒	a,	icon.etc_pi_gift_box_i04	u,2012熱門商品限時販售\0
1030359	經驗值葫蘆壺精組-10小時	a,	icon.etc_pi_gift_box_i00	u,2012熱門商品限時販售\0
1030360	經驗值葫蘆壺精組-20小時	a,	icon.etc_pi_gift_box_i00	u,2012熱門商品限時販售\0
1030361	經驗值葫蘆壺精組-30小時	a,	icon.etc_pi_gift_box_i01	u,2012熱門商品限時販售\0
1030362	進化的根源	u,進化的根源是讓巴拉卡斯壺精進化時必備的材料。點兩下時，可召喚進化的傳達者。使用冷卻時間為24小時。無法交易或丟棄的道具，但可以刪除，也可以保管在個人倉庫。\0	BranchSys3.icon.g_aga_valakas_lifespring	a,
1030363	壺精封印手鐲-安塔瑞斯	a,	icon.pi_high_agathion_bracelet_i00	a,
1030364	水精靈變身豎琴 7日/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030365	水精靈變身豎琴 30日/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030366	頭飾加工石	a,	BranchSys3.Icon.g_shape_shifting_hair2_stone	a,
1030367	頭飾外型復原石	a,	BranchSys3.icon.g_bless_wp_processing_stone_r	a,
1030368	遠古卡爾提亞迷宮的痕跡	a,	BranchSys3.Icon.g_ev_magic_powder	u,週年慶限時特賣\0
1030369	伊娃古文（1小時）組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	u,週年慶限時特賣\0
1030370	活力提升卷軸組	u,讓使用者週間使用活力道具的數量增加1次。使用冷卻時間為3天。無法交易、丟棄的道具，但可以刪除，也可以保管在個人倉庫。\0	BranchSys.icon.br_four_leaf_clover_box_i00	u,週年慶限時特賣\0
1030371	上級活力提升卷軸組	u,讓使用者週間使用活力道具的數量增加2次。使用冷卻時間為3天。無法交易、丟棄的道具，但可以刪除，也可以保管在個人倉庫。\0	BranchSys.icon.br_four_leaf_clover_box_i00	u,週年慶限時特賣\0
1030372	特級活力提升卷軸組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	u,2012熱門商品限時販售\0
1030373	遠古卡爾提亞迷宮的痕跡	a,	BranchSys3.Icon.g_ev_magic_powder	u,週年慶限時販售\0
1030374	武器用強化輔助石-R級	a,	icon.ench_wp_potion_violet_i00	a,
1030375	防具用強化輔助石-R級	a,	icon.ench_am_potion_violet_i00	a,
1030376	聖誕蛋糕盒	u,禮盒組為可交易但點開後內含物聖誕蛋糕與白色聖誕節祈願燭為無法交易\0	icon.lucky_bag_box_i00	a,
1030377	男生泰迪熊禮盒	u,禮盒組為可交易但點開後內含物壺精與白色聖誕節祈願燭為無法交易，男生泰迪熊壺精裝備時放寬負重懲罰3000\0	icon.lucky_bag_box_i00	a,
1030378	女生泰迪熊禮盒	u,禮盒組為可交易但點開後內含物壺精與白色聖誕節祈願燭為無法交易，女生泰迪熊壺精裝備時放寬負重懲罰3000\0	icon.lucky_bag_box_i00	a,
1030379	聖誕蛋糕	a,	icon.event_six_party_cake_i00	a,
1030380	白色聖誕節祈願燭	a,	icon.etc_candle_white_i00	a,
1030381	聖誕服加工石組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030382	天堂攻擊餅乾	a,	天堂攻擊餅乾	a,
1030383	天堂防禦餅乾	a,	天堂防禦餅乾	a,
1030384	天堂魔法餅乾	a,	天堂魔法餅乾	a,
1030385	天堂CP增幅餅乾	a,	icon.etc_bm_cp_cookie	a,
1030386	奈比特古文100%-7日禮盒	u,效果只會適用於等級85以下的角色。\0	icon.etc_pi_gift_box_i00	u,英雄優惠期間限定折扣\0
1030387	奈比特古文200%-7日禮盒	u,效果只會適用於等級85以下的角色。\0	icon.etc_pi_gift_box_i00	u,英雄優惠期間限定折扣\0
1030388	奈比特古文(龍之飛翔)禮盒	u,效果適用於等級95以下的角色。\0	icon.etc_pi_gift_box_i04	u,英雄優惠期間限定折扣\0
1030389	祝福的殷海薩襯衫強化卷軸禮盒	u,7折價\0	BranchSys.icon.br_four_leaf_clover_box_i00	u,殷海薩襯衫系列限時搶購\0
1030390	祝福的殷海薩襯衫強化卷軸	a,	BranchSys2.icon.etc_scroll_of_enchant_shirt_i00	u,殷海薩襯衫系列限時搶購\0
1030391	祝福的殷海薩襯衫強化卷軸禮盒	u,7折價\0	BranchSys.icon.br_four_leaf_clover_box_i00	u,殷海薩襯衫系列限時搶購\0
1030392	祝福的殷海薩襯衫強化卷軸禮盒	u,7折價\0	BranchSys.icon.br_four_leaf_clover_box_i00	u,殷海薩襯衫系列限時搶購\0
1030393	祝福的殷海薩襯衫強化卷軸禮盒	u,7折價\0	BranchSys.icon.br_four_leaf_clover_box_i00	u,殷海薩襯衫系列限時搶購\0
1030394	帕格立歐襯衫	a,	icon.pi_shirt_of_wolf_2nd_fire	u,殷海薩襯衫系列限時搶購\0
1030395	沙哈襯衫	a,	icon.pi_shirt_of_wolf_2nd_wind	u,殷海薩襯衫系列限時搶購\0
1030396	伊娃襯衫	a,	icon.pi_shirt_of_wolf_2nd_water	u,殷海薩襯衫系列限時搶購\0
1030397	梅芙襯衫	a,	icon.pi_shirt_of_wolf_2nd_earth	u,殷海薩襯衫系列限時搶購\0
1030398	雅戴妮魅惑內衣	a,	BranchSys3.icon1.g_co_sexy_underwear	u,精煉內衣限時推出!!\0
1030399	雅戴妮內衣專用生命石	a,	BranchSys3.icon1.g_life_dust_general_adenia	u,精煉內衣限時推出!!\0
1030400	和風刀加工石	a,	BranchSys3.Icon.g_shape_shifting_sword	u,讓你化身孤傲的浪人武士\0
1030401	雅戴妮內衣專用生命石10個	a,	BranchSys3.icon1.g_life_dust_general_adenia	u,八折折扣價\0
1030402	雅戴妮內衣專用生命石20個	a,	BranchSys3.icon1.g_life_dust_general_adenia	u,七折折扣價\0
1030403	和風匕首加工石	a,	BranchSys3.Icon.g_shape_shifting_dagger	u,致命攻擊的最終兵器!!\0
1030404	和風長刀加工石	a,	BranchSys3.Icon.g_shape_shifting_twohand_sword	u,太刀~千人斬!!!\0
1030405	和風格鬥兵器加工石	a,	BranchSys3.Icon.g_shape_shifting_dualfist	u,尖銳的金剛狼\0
1030406	和風長矛加工石	a,	BranchSys3.Icon.g_shape_shifting_pole	u,三國無雙，關雲長登場\0
1030407	和風弓加工石	a,	BranchSys3.Icon.g_shape_shifting_bow	u,火紅的弓柄...弓術的達人\0
1030408	和風弩弓加工石	a,	BranchSys3.Icon.g_shape_shifting_twohand_crossbow	u,潮流古著，原木打造\0
1030409	和風鈍器加工石	a,	BranchSys3.Icon.g_shape_shifting_blunt	u,史上最威的鈍器外型\0
1030410	和風巨大鈍器加工石	a,	BranchSys3.Icon.g_shape_shifting_twohand_blunt	u,最怪武器限定款\0
1030411	和風魔法鈍器加工石	a,	BranchSys3.Icon.g_shape_shifting_magic_blunt	u,滅魔必備降魔杵.化身為孔雀冥王\0
1030412	和風巨大魔法鈍器加工石	a,	BranchSys3.Icon.g_shape_shifting_magic_twohand_blunt	u,阿彌陀佛....西遊記唐僧專用武器\0
1030413	和風雙刀加工石	a,	BranchSys3.Icon.g_shape_shifting_dual	u,浪人二刀流\0
1030414	和風雙匕首加工石	a,	BranchSys3.Icon.g_shape_shifting_dualdagger	u,忍者造型的最佳搭配\0
1030415	和風雙鈍器加工石	a,	BranchSys3.Icon.g_shape_shifting_dualblunt	u,兄貴使用限定\0
1030416	和風盾牌加工石	a,	BranchSys3.Icon.g_shape_shifting_shield	u,殺氣十足.先嚇嚇他吧!!\0
1030417	和風符印加工石	a,	BranchSys3.Icon.g_shape_shifting_sigil	u,九珠連印.超殺鬼面護體\0
1030418	忍者衣裳加工石組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	u,躲匿於暗處的忍者.擁有獨一無二的神秘感\0
1030419	金屬套裝組合	u,內含金屬套裝5件組加工石\0	BranchSys.icon.br_four_leaf_clover_box_i00	u,機械戰警炫麗鎧甲，讓你成為眾人焦點\0
1030420	軍用套裝組合	u,內含軍用套裝5件組加工石\0	BranchSys.icon.br_four_leaf_clover_box_i00	u,性感迷彩軍裝，讓你化身特種部隊\0
1030421	可愛女僕套裝(女性限定)	u,內含女僕套裝2件組加工石(女性限定)男性角色購買將無法裝備\0	BranchSys.icon.br_four_leaf_clover_box_i00	u,女性角色最佳性感裝扮NO1 <女性限定>\0
1030422	金屬套裝+光束武器優惠組合	u,內含金屬套裝5件組加工石、光束武器自動轉換加工石1個(可將要改變外型的武器變更為同類型的光束武器外型)\0	BranchSys.icon.br_four_leaf_clover_box_i00	u,加購價6折期間限定優惠\0
1030423	軍用套裝+光束武器優惠組合	u,內含軍用套裝5件組加工石、光束武器自動轉換加工石1個(可將要改變外型的武器變更為同類型的光束武器外型)\0	BranchSys.icon.br_four_leaf_clover_box_i00	u,加購價6折期間限定優惠\0
1030424	可愛女僕套裝+光束武器優惠組合	u,內含可愛女僕套裝2件組加工石(女性限定裝備)、光束武器自動轉換加工石1個(可將要改變外型的武器變更為同類型的光束武器外型)\r\n\0	BranchSys.icon.br_four_leaf_clover_box_i00	u,加購價6折期間限定優惠，女僕套裝<女性限定裝備>\0
1030425	軍用套裝+狐狸面具優惠組合	u,內含軍用套裝5件組加工石、狐狸面具組1個\0	BranchSys.icon.br_four_leaf_clover_box_i00	u,加1元多1件\0
1030426	金屬套裝+R級武器強化輔助石優惠組合	u,內含金屬套裝5件組加工石、武器用強化輔助石-R級1個\0	BranchSys.icon.br_four_leaf_clover_box_i00	u,加1元多1件\0
1030427	可愛女僕套裝+R級武器強化輔助石優惠組合	u,內含可愛女僕套裝2件組加工石(女性限定裝備)、武器用強化輔助石-R級1個\0	BranchSys.icon.br_four_leaf_clover_box_i00	u,加1元多1件，可愛女僕<女性限定裝備>\0
