id	cnt	str[0]	str[1]	str[2]	str[3]	str[4]	str[5]	str[6]	str[7]	str[8]	str[9]
142201	6	GS01_Win	GS02_Per	GS03_Solo	GS05_F	GS02_F	GS03_F				
142202	6	D02_F	D04_F	D05_F	D02_S01	D04_S01	D05_S01				
142301	6	F16_F	B02_S01	B04_S01	D02_S01	D03_S01	ND13_S01				
142302	5	D07_F	D06_S02	D04_S01	B03_S02	B01_F					
142303	6	ND10_F	NB10_SC2	NB07_SC3	S24_F	S22_F	ND13_F				
142304	7	ND04_F	ND03_F	NS03_F	NS15_F	B02_F	B01_F	B02_S01			
142305	9	ND04_F	D02_F	D02_S01	D02_S02	D05_S01	D06_F	D06_S01	D07_S01	D08_F	
142306	6	F16_F	B02_S01	B04_S01	D02_S01	D03_S01	ND13_S01				
142307	5	D05_F	D04_F	D03_S01	B02_F	F04_S01					
142308	5	D05_F	D04_F	D03_S01	B02_F	F04_S01					
142309	6	GS01_Win	GS02_Per	GS03_Solo	GS05_F	GS02_F	GS03_F				
142310	4	GS02_Per	GS05_Per	GS03_Win	GS04_SC1						
171301	5	D06_S01	B02_S02	D02_S01	D07_S02	F01_F					
171302	7	NB06_F	NB07_F	NB05_F;	NB03_F	B03_F	B05_F	B07_F			
221911	4	F01_F	F01_S01	F02_F	F08_F						
231405	8	ND12_F	ND11_F	ND09_F	ND13_F	ND03_F	D02_S01	D03_S01	B08_S02		
231406	7	NB06_F	NB07_F	NB05_F;	NB03_F	B03_F	B05_F	B07_F			
211001	6	ND06_F	D04_F	ND13_F	ND12_F	D06_S01	ND04_F				
211002	7	B05_F	B05_S01	NB04_F	B01_F	NS18_S01	D04_S01	NB08_F			
211003	4	ND09_F	ND10_S01	ND09_S01	ND13_S01						
211004	7	ND04_F	ND03_F	NS03_F	NS15_F	B02_F	B01_F	B02_S01			
211005	2	S24_F	S22_F								
221001	7	D02_S01	D03_S01	D04_F	D04_S01	D05_S01	ND02_F	ND04_F			
221002	4	S22_F	T23_F	S08_F	D05_F						
221003	3	NS06_F	S21_F	S22_F							
221004	7	NB05_F	NB06_F	NB08_F	B01_F	NB04_F	D04_S01	B08_S01			
142203	5	NB11_F	NB12_F	NB13_F	NB14_F	NB15_F					
142204	4	ND20_F	ND21_F	ND14_F	D05_F						
142205	6	ND21_F	D05_F	D06_F	ND20_F	ND14_F	D07_F				
142206	4	D02_S01	D03_S01	D04_S01	D05_S01						
162201	7	D02_S01	D03_S01	D04_F	D04_S01	D05_S01	ND02_F	ND04_F			
162301	7	ND04_F	ND03_F	NS03_F	NS15_F	B02_F	B01_F	B02_S01			
252002	4	D05_S01	D04_S01	D03_S01	F04_S01						
252201	6	ND16_F	D06_S01	B02_S02	D02_S01	D07_S02	F01_F				
252202	6	D02_F	D04_F	D05_F	D02_S01	D04_S01	D05_S01				
261901	6	ND19_F	ND18_F	ND17_F	D02_F	ND14_F	ND13_F				
261902	5	ND18_F	ND17_F	D02_F	ND15_F	D08_F					
262001	5	NF06_F	NF07_F	NF08_F	NF09_F	NF10_F					
262002	2	NT_Arkan	INTRO_L1								
262003	3	D06_S01	D07_S01	ND12_S01							
262004	4	D02_S01	D03_S01	D04_S01	D05_S01						
262101	5	NF06_F	NF07_F	NF08_F	NF09_F	NF10_F					
262102	5	NF11_F	NF12_F	NF13_F	NF14_F	NF15_F					
262103	5	NB11_F	NB12_F	NB13_F	NB14_F	NB15_F					
262104	3	ND13_S01	ND15_F	ND12_S01							
262105	7	ND17_F	ND18_F	ND16_F	D05_S01	B03_S02	D07_S02	F01_F			
262201	4	D05_S01	D04_S01	D03_S01	F04_S01						
232204	8	D02_F	D02_S01	D02_S02	D05_S01	D06_F	D06_S01	D07_S01	D08_F		
232205	7	D02_S01	D03_S01	D04_F	D04_S01	D05_S01	D05_F	D06_F			
232206	8	D02_F	D02_S01	D02_S02	D05_S01	D06_F	D06_S01	D07_S01	D08_F		
232207	7	D02_S01	D03_S01	D04_F	D04_S01	D05_S01	D05_F	D06_F			
232208	4	F01_F	F01_S01	F02_F	F08_F						
242501	3	D06_S01	D07_S01	ND12_S01							
242502	8	D02_F	D02_S01	D02_S02	D05_S01	D06_F	D06_S01	D07_S01	D08_F		
242503	7	D02_S01	D03_S01	D04_F	D04_S01	D05_S01	D05_F	D06_F			
242504	8	D02_F	D02_S01	D02_S02	D05_S01	D06_F	D06_S01	D07_S01	D08_F		
242505	7	D02_S01	D03_S01	D04_F	D04_S01	D05_S01	D05_F	D06_F			
211201	6	NB12_F	NB13_F	NB14_F	NB15_F	NB11_F	S_Tower				
211202	3	S15_D	T22_F	T23_F							
221201	7	NB06_F	NB07_F	NB05_F;	NB03_F	B03_F	B05_F	B07_F			
221202	5	NB11_F	NB12_F	NB13_F	NB14_F	NB15_F					
221203	5	D05_F	D04_F	D03_S01	B02_F	F04_S01					
161401	2	NF11_F	NF16_F								
242401	6	D01_F	D01_S01	D02_F	D02_S01	D04_S01	D05_S01				
161701	3	D02_S01	D04_F	D05_S01							
161702	6	ND09_F	ND11_F	ND12_F	B01_F	B05_S01	B06_S01				
161703	4	NB03_F	B07_F	NB06_F	B05_F						
161801	3	D02_S01	D04_F	D05_S01							
161802	6	ND09_F	ND11_F	ND12_F	B01_F	B05_S01	B06_S01				
161803	4	NB03_F	B07_F	NB06_F	B05_F						
152201	7	ND17_F	ND18_F	ND16_F	D05_S01	B03_S02	D07_S02	F01_F			
152401	4	D02_S01	D03_S01	D04_S01	D05_S01						
152402	6	NB03_F	NB06_F	NB10_F	NB15_F	ND17_F	B08_F				
152301	7	ND17_F	ND18_F	ND16_F	D05_S01	B03_S02	D07_S02	F01_F			
152302	4	D02_S01	D03_S01	D04_S01	D05_S01						
